Species,Month
Anas_acuta,Dec
Anas_acuta,Dec
Anas_acuta,Jan
Anas_acuta,Oct
Anas_acuta,Dec
Chordeiles_acutipennis,Apr
Chordeiles_acutipennis,Apr
Chordeiles_acutipennis,Apr
Chordeiles_acutipennis,Apr
Troglodytes_aedon,Apr
Troglodytes_aedon,Dec
Troglodytes_aedon,Dec
Troglodytes_aedon,Jan
Troglodytes_aedon,Nov
Troglodytes_aedon,Nov
Troglodytes_aedon,Nov
Troglodytes_aedon,Oct
Troglodytes_aedon,Oct
Troglodytes_aedon,Oct
Molothrus_aeneus,Apr
Molothrus_aeneus,Apr
Molothrus_aeneus,Apr
Molothrus_aeneus,Apr
Molothrus_aeneus,Apr
Molothrus_aeneus,Apr
Molothrus_aeneus,Aug
Molothrus_aeneus,Dec
Molothrus_aeneus,Dec
Molothrus_aeneus,Jan
Molothrus_aeneus,Jan
Molothrus_aeneus,Jan
Molothrus_aeneus,May
Molothrus_aeneus,May
Molothrus_aeneus,May
Molothrus_aeneus,May
Molothrus_aeneus,Oct
Molothrus_aeneus,Oct
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Apr
Aimophila_aestivalis,Feb
Aimophila_aestivalis,Feb
Aimophila_aestivalis,Feb
Aimophila_aestivalis,Jan
Aimophila_aestivalis,Jan
Aimophila_aestivalis,Jan
Aimophila_aestivalis,Jan
Aimophila_aestivalis,Jan
Aimophila_aestivalis,Jun
Phaethon_aethereus,Sep
Aythya_affinis,Feb
Platalea_ajaja,Jun
Ardea_alba,Jan
Ardea_alba,Nov
Ardea_alba,Oct
Calidris_alba,Apr
Calidris_alba,Apr
Calidris_alba,Aug
Calidris_alba,Aug
Calidris_alba,Dec
Calidris_alba,Dec
Calidris_alba,Dec
Calidris_alba,Dec
Calidris_alba,Dec
Calidris_alba,Jul
Calidris_alba,Nov
Calidris_alba,Nov
Calidris_alba,Oct
Calidris_alba,Oct
Calidris_alba,Sep
Tyto_alba,Apr
Tyto_alba,Apr
Tyto_alba,Apr
Tyto_alba,Feb
Tyto_alba,Feb
Tyto_alba,Feb
Tyto_alba,Jun
Tyto_alba,Mar
Tyto_alba,Mar
Tyto_alba,May
Bucephala_albeola,Nov
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Mar
Zonotrichia_albicollis,Apr
Zonotrichia_albicollis,Apr
Zonotrichia_albicollis,Apr
Zonotrichia_albicollis,Apr
Zonotrichia_albicollis,Apr
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Dec
Zonotrichia_albicollis,Feb
Zonotrichia_albicollis,Feb
Zonotrichia_albicollis,Feb
Zonotrichia_albicollis,Feb
Zonotrichia_albicollis,Feb
Zonotrichia_albicollis,Feb
Zonotrichia_albicollis,Feb
Zonotrichia_albicollis,Jan
Zonotrichia_albicollis,Jan
Zonotrichia_albicollis,Jan
Zonotrichia_albicollis,Jan
Zonotrichia_albicollis,Mar
Zonotrichia_albicollis,Mar
Zonotrichia_albicollis,Mar
Zonotrichia_albicollis,Mar
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Zonotrichia_albicollis,Nov
Anser_albifrons,Dec
Anser_albifrons,Dec
Anser_albifrons,Dec
Anser_albifrons,Dec
Anser_albifrons,Dec
Anser_albifrons,Jan
Anser_albifrons,Jan
Eudocimus_albus,Aug
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Dec
Eudocimus_albus,Jan
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Nov
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Eudocimus_albus,Oct
Megaceryle_alcyon,Dec
Megaceryle_alcyon,Dec
Megaceryle_alcyon,Nov
Megaceryle_alcyon,Nov
Archilochus_alexandri,Dec
Archilochus_alexandri,Dec
Archilochus_alexandri,Dec
Archilochus_alexandri,Dec
Archilochus_alexandri,Jan
Archilochus_alexandri,Jan
Archilochus_alexandri,Jan
Archilochus_alexandri,Mar
Archilochus_alexandri X colubris,Mar
Charadrius_alexandrinus,Nov
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,Aug
Empidonax_alnorum,May
Empidonax_alnorum,May
Empidonax_alnorum,May
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Empidonax_alnorum,Sep
Eremophila_alpestris,Mar
Eremophila_alpestris,Mar
Eremophila_alpestris,Mar
Eremophila_alpestris,Mar
Eremophila_alpestris,May
Eremophila_alpestris,Nov
Calidris_alpina,Apr
Calidris_alpina,Apr
Calidris_alpina,Apr
Calidris_alpina,Apr
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Aug
Calidris_alpina,Dec
Calidris_alpina,Feb
Calidris_alpina,Feb
Calidris_alpina,Feb
Calidris_alpina,Jan
Calidris_alpina,Jul
Calidris_alpina,Jul
Calidris_alpina,May
Calidris_alpina,Nov
Calidris_alpina,Nov
Calidris_alpina,Oct
Calidris_alpina,Oct
Calidris_alpina,Oct
Calidris_alpina,Sep
